Hits,Kudos,Words,Bookmarks,Comments,Chapters,PublishDate,Cosine_distance
10372.0,279.0,144443.0,1188,66,144,1547,0.016927835361717047
352.0,15.0,49627.0,56,6,64,634,0.01630458145542979
3621.0,188.0,15258.0,23,13,1,2020,0.015692423402693167
3332.0,94.0,4349.0,17,10,1,2602,0.01572202377040055
2980.0,62.0,1907.0,8,1,1,1601,0.2460917620496273
638.0,44.0,13049.0,18,15,9,998,0.015239661602738932
647.0,13.0,689.0,0,1,1,1042,0.3075327718825659
3388.0,68.0,42114.0,192,18,600,838,0.0153695738225601
1978.0,64.0,607.0,11,6,1,2092,0.04527466048735529
1354.0,20.0,754.0,4,1,1,1453,0.044023581652510524
1458.0,54.0,2792.0,6,0,1,1222,0.6204040657553733
919.0,29.0,1250.0,1,3,1,2783,0.026569760843125238
301.0,8.0,1067.0,1,0,1,1943,0.6680855638965346
1387.0,79.0,2203.0,5,14,1,2016,0.2741923706279301
501.0,45.0,885.0,4,2,1,662,0.03345697163604067
2319.0,23.0,2311.0,1,0,1,1928,0.02114060516304717
11145.0,667.0,7877.0,108,32,1,1276,0.01526797032314009
436.0,6.0,840.0,0,1,1,1893,0.05179194572859069
2503.0,152.0,16031.0,44,11,1,1315,0.01700587658856756
4426.0,197.0,21465.0,272,26,256,554,0.01547754311985805
407.0,21.0,1935.0,2,2,1,654,0.026465805753553173
2820.0,141.0,1415.0,11,16,1,1203,0.034266134974891505
880.0,37.0,757.0,5,2,1,2855,0.034686353336991334
722.0,52.0,1100.0,8,12,1,1173,0.05021493285644008
30874.0,575.0,53153.0,808,52,16,2500,0.015957717143513128
382.0,12.0,504.0,1,5,1,1893,0.07044747747158953
1230.0,80.0,3929.0,3,12,1,1149,0.01756904131059367
1474.0,53.0,2318.0,6,0,1,1776,0.030168663788177837
5387.0,309.0,2746.0,47,7,1,2698,0.02187241297577236
404.0,14.0,6289.0,12,0,16,470,0.015283190238785438
729.0,18.0,1138.0,0,0,1,1214,0.03814017198156228
362.0,27.0,963.0,4,3,1,1170,0.030265592936645106
319.0,12.0,1475.0,2,0,1,1345,0.7073249685123318
5938.0,136.0,2288.0,7,11,1,1577,0.0387354078526837
245.0,12.0,1616.0,0,0,4,991,0.02191203343934966
1211.0,65.0,13593.0,14,3,1,1143,0.015501780257987985
995.0,39.0,2231.0,2,1,1,1298,0.02112821602944248
876.0,27.0,6755.0,30,4,9,1538,0.014927597581998575
1976.0,143.0,800.0,5,5,1,602,0.038700733846157576
575.0,22.0,6621.0,6,7,1,1199,0.015425158618860403
1563.0,114.0,3143.0,19,12,1,1282,0.01825766756233937
660.0,18.0,17602.0,16,2,64,1580,0.014776365470386962
187.0,3.0,564.0,0,2,1,1662,0.7216586028124192
252.0,2.0,675.0,0,6,1,1402,0.6960951425587559
293.0,9.0,654.0,0,2,1,1714,0.32018559600109864
121.0,2.0,11764.0,0,0,49,773,0.01545711577677189
3866.0,138.0,9912.0,24,9,1,1724,0.017783891178631217
1208.0,63.0,2067.0,6,4,1,1345,0.021198876909954145
3072.0,98.0,747.0,6,10,1,1434,0.05196619827162341
876.0,82.0,916.0,6,2,1,1022,0.043161226654386715
1854.0,142.0,1158.0,5,1,1,952,0.041029852006131066
2750.0,111.0,2387.0,6,16,1,1277,0.2741427094140937
1329.0,21.0,4184.0,3,2,1,1213,0.015621091147840271
210.0,14.0,8637.0,11,1,121,571,0.014786576060353163
4921.0,262.0,5040.0,52,40,1,2267,0.026395598876852056
292.0,10.0,1011.0,0,0,1,2133,0.04593175738684152
33061.0,1883.0,9746.0,209,39,1,1273,0.015625430350900915
392.0,8.0,2132.0,1,0,1,2229,0.03470158118019662
413.0,15.0,1081.0,0,1,1,1661,0.03659582641453352
1700.0,33.0,851.0,3,3,1,1696,0.03518885848898279
3321.0,70.0,4396.0,30,14,4,1872,0.017309110451601217
4191.0,258.0,945.0,19,5,1,1165,0.02742284967024433
630.0,58.0,1317.0,4,6,1,897,0.03027211298743482
1112.0,67.0,10802.0,7,7,1,1273,0.01465603805593152
9465.0,356.0,20307.0,49,41,1,928,0.01552691734741807
1798.0,57.0,5593.0,60,10,100,1076,0.016264251165810872
572.0,46.0,5047.0,5,3,1,1216,0.01533437703190854
667.0,31.0,571.0,3,3,1,912,0.0613589363539655
2225.0,61.0,801.0,7,2,1,3066,0.03725499165166557
4611.0,340.0,3427.0,39,22,1,1262,0.027263346825117885
1552.0,65.0,2144.0,7,0,1,1324,0.018878207279944714
390.0,14.0,3060.0,2,1,1,2831,0.01637925191626877
867.0,43.0,590.0,0,0,1,705,0.043079174370376117
3301.0,220.0,1514.0,13,3,1,1145,0.030768464201844762
70.0,6.0,3455.0,0,9,1,573,0.2716105947984925
4812.0,204.0,790.0,6,14,1,1461,0.039042582953663696
788.0,39.0,28382.0,270,13,324,2352,0.015430071803236522
1205.0,94.0,14639.0,27,47,9,609,0.01524195210813428
889.0,26.0,1455.0,4,1,1,2838,0.0207906444028948
63.0,5.0,974.0,1,0,1,929,0.7387177575668445
198.0,16.0,5890.0,1,2,1,1085,0.015443993138060332
888.0,17.0,16380.0,24,2,36,796,0.015236195521201257
84.0,5.0,1434.0,8,0,16,494,0.6689941343929207
808.0,27.0,47580.0,175,59,625,539,0.015940602515777003
3669.0,215.0,2858.0,13,8,1,1069,0.03253551081653205
8571.0,285.0,11441.0,81,16,1,2730,0.014344329445424298
336.0,3.0,3928.0,0,1,4,1656,0.2692167834032504
381.0,16.0,775.0,3,2,1,1957,0.3065852335161877
3670.0,229.0,1138.0,13,16,1,899,0.032983500626195705
1594.0,74.0,621.0,16,3,1,1658,0.03605046260932876
527.0,34.0,793.0,1,1,1,1670,0.03554131794698045
1871.0,110.0,3247.0,21,4,1,2784,0.01921076596443705
5273.0,220.0,17643.0,102,17,4,1525,0.01529318240213007
438.0,17.0,1054.0,2,1,1,1800,0.2557238926191091
1868.0,29.0,31961.0,105,4,225,2153,0.01544715419942444
2181.0,105.0,1475.0,7,2,1,615,0.03247271255245343
53.0,3.0,596.0,1,0,1,1055,0.07421521311957957
2061.0,35.0,4470.0,6,0,1,2661,0.01572640794128399
140.0,1.0,1212.0,0,0,4,2247,0.028506569393852432
363.0,22.0,1694.0,0,1,1,681,0.02452367442682224
1680.0,74.0,7613.0,11,6,1,2014,0.014523480611934647
12783.0,383.0,21258.0,76,24,1,1592,0.015464409315099181
3341.0,67.0,41511.0,108,2,36,2157,0.016447616923913055
6045.0,153.0,7452.0,24,32,1,1650,0.017024177747962055
3795.0,186.0,1462.0,13,14,1,1140,0.04151167706689296
140.0,9.0,705.0,0,2,1,489,0.04024916390542632
127.0,5.0,1233.0,0,0,1,706,0.03376005248994929
632.0,36.0,663.0,5,0,1,1245,0.0733844660493238
11709.0,572.0,5305.0,107,41,1,1613,0.025915292411178403
269.0,27.0,3986.0,6,2,1,1405,0.018749003324091684
928.0,60.0,686.0,4,2,1,1309,0.0474136006463185
7684.0,115.0,42830.0,33,20,1,2657,0.015663240964432282
5017.0,159.0,15892.0,405,58,240,1460,0.015190906377912206
2910.0,88.0,2060.0,13,26,1,2509,0.2755426468712696
1162.0,21.0,750.0,2,0,1,2563,0.04559107403301277
3359.0,200.0,3798.0,50,6,1,1617,0.016111969854915587
754.0,92.0,2792.0,14,24,1,901,0.6139802733149555
1939.0,40.0,2432.0,6,0,1,2733,0.028572129264789806
2845.0,57.0,2393.0,5,3,1,2441,0.02536949902478813
227.0,5.0,1130.0,0,0,1,873,0.029489376826620894
1668.0,22.0,9418.0,16,9,64,517,0.015674965445399702
3741.0,232.0,943.0,14,10,1,1181,0.03864583996428661
134.0,6.0,1112.0,0,0,1,1594,0.3007376918596757
794.0,20.0,2717.0,0,0,1,1669,0.01801424954532238
323.0,6.0,1206.0,0,0,1,2290,0.03933184797592526
17613.0,706.0,64433.0,1080,35,25,1014,0.016566714899129087
779.0,25.0,1029.0,2,0,1,3141,0.04720227608868777
3187.0,126.0,771.0,4,6,1,1180,0.03792351762015855
2096.0,112.0,2488.0,19,2,1,1616,0.018535812849301947
1028.0,92.0,2843.0,9,2,1,909,0.028281355070103983
121.0,14.0,4284.0,1,2,1,860,0.024175261579504004
1617.0,34.0,1793.0,6,0,1,2469,0.02255712979490021
384.0,21.0,566.0,0,0,1,709,0.04907040844598165
2043.0,55.0,525.0,6,2,1,1463,0.06417848332417908
1107.0,41.0,6841.0,35,14,49,785,0.014956847446761956
620.0,18.0,919.0,0,8,9,833,0.030650676233844317
147.0,1.0,614.0,0,0,1,1603,0.32178702209082777
3378.0,276.0,5395.0,16,12,1,866,0.015290598693109782
518.0,9.0,524.0,1,0,1,2280,0.07615424766340417
1292.0,19.0,737.0,3,1,1,2191,0.30523981071925543
168.0,9.0,909.0,0,2,1,514,0.04396231543922746
256.0,9.0,8481.0,1,0,1,1280,0.016266666193583967
130.0,15.0,703.0,2,1,1,2334,0.06417275792291277
3247.0,182.0,18117.0,90,85,4,968,0.015225056610535526
538.0,25.0,674.0,4,1,1,1565,0.2880053578071745
830.0,25.0,12123.0,6,2,1,666,0.01527799978517874
345.0,10.0,1584.0,0,2,1,1398,0.6469880929213967
340.0,6.0,865.0,0,0,1,1599,0.04126835455346856
348.0,15.0,1559.0,1,0,1,2016,0.2477564249446178
627.0,22.0,1983.0,2,0,1,1137,0.021937029999486324
3203.0,129.0,9140.0,29,4,1,2193,0.01532903982776146
34997.0,1920.0,13669.0,206,40,1,1896,0.01543223371692104
341.0,38.0,884.0,2,2,1,975,0.7027990521439421
872.0,33.0,924.0,8,0,4,1334,0.02769885567105379
8087.0,148.0,13983.0,170,27,100,2172,0.015155518621227103
276.0,4.0,2845.0,4,1,20,1283,0.6171454895980908
3006.0,340.0,1268.0,36,16,1,1240,0.02750068068886291
34316.0,1879.0,8689.0,209,43,1,1564,0.016968625085699185
118432.0,3943.0,58002.0,410,51,4,1794,0.01654747910134491
2621.0,70.0,1183.0,9,0,1,672,0.030763653328241825
6783.0,166.0,2577.0,20,29,1,2514,0.021316722571385727
4753.0,329.0,1527.0,22,32,1,741,0.02147917264057753
1229.0,57.0,22987.0,19,4,1,800,0.015409323384641628
9528.0,435.0,24534.0,966,187,196,1065,0.015448896272512669
3165.0,103.0,7369.0,12,5,1,2717,0.014301030154440175
599.0,28.0,742.0,2,0,1,1434,0.03173610371044877
1135.0,52.0,1550.0,1,4,1,894,0.03408999679251978
972.0,23.0,997.0,0,0,1,1573,0.05776587237889307
176.0,3.0,3695.0,1,0,1,781,0.01720971567609919
7919.0,375.0,2825.0,79,11,1,1467,0.01891262148737161
75.0,4.0,740.0,0,0,1,528,0.2694508363599261
1555.0,11.0,573.0,1,0,1,1940,0.7083378098362414
1211.0,83.0,2665.0,3,7,1,618,0.017436027205218863
1427.0,103.0,803.0,10,1,1,1049,0.053059497142643915
3840.0,299.0,11095.0,21,40,1,1030,0.015677395446923814
